Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Population,Continent
Kyrgyzstan,43898.0,78.0,1058.0,0.0,38459.0,4381.0,24.0,267718.0,6541543.0,Asia
Armenia,43781.0,31.0,879.0,2.0,37722.0,5180.0,0.0,205940.0,2964173.0,Asia
Switzerland,42177.0,163.0,2006.0,1.0,35800.0,4371.0,22.0,1015686.0,8665097.0,Europe
Uzbekistan,41787.0,363.0,319.0,6.0,39068.0,2400.0,133.0,1377915.0,33547847.0,Asia
Costa Rica,39699.0,0.0,418.0,0.0,15737.0,23544.0,133.0,146047.0,5101777.0,NorthAmerica
Nepal,39460.0,899.0,228.0,7.0,21410.0,17822.0,0.0,693472.0,29220895.0,Asia
Afghanistan,38165.0,3.0,1402.0,0.0,29089.0,7674.0,31.0,102643.0,39067076.0,Asia
Moldova,36920.0,220.0,995.0,3.0,25872.0,10053.0,575.0,207925.0,4032371.0,Europe
Azerbaijan,36435.0,126.0,534.0,3.0,33847.0,2054.0,0.0,922069.0,10154230.0,Asia
Kenya,34201.0,144.0,577.0,3.0,19893.0,13731.0,44.0,454406.0,53959008.0,Africa
Serbia,31406.0,41.0,713.0,2.0,30028.0,665.0,47.0,931037.0,8731368.0,Europe
Ireland,28760.0,0.0,1777.0,0.0,23364.0,3619.0,6.0,839814.0,4946815.0,Europe
Austria,27438.0,272.0,733.0,0.0,23226.0,3479.0,31.0,1180711.0,9014941.0,Europe
Australia,25746.0,76.0,652.0,41.0,21350.0,3744.0,27.0,6214006.0,25548259.0,AustraliaOceania
